# size, sigma, af cpy h->d mean [s], af cpy h->d stddev [s], af convolve mean [s], af convolve stddev [s], af cpy d->h mean [s], af cpy d->h stddev [s], af total mean [s], af total stddev [s], vigra mean [s], vigra stddev [s]
256, 0.7, 0.000124811, 1.7602e-05, 0.01143, 0.0223386, 0.0001114, 3.28667e-05, 0.0116662, 0.0223387, 0.00174154, 1.8394e-05
256, 1, 0.000123627, 1.6894e-05, 0.0114925, 0.0223133, 0.000114591, 3.43607e-05, 0.0117308, 0.0223134, 0.00213679, 1.35206e-05
256, 1.6, 0.000124644, 1.67422e-05, 0.0117215, 0.0221912, 0.000115369, 3.43105e-05, 0.0119615, 0.0221912, 0.0029152, 1.12076e-05
256, 3.5, 0.000126108, 1.59889e-05, 0.0249951, 0.0546268, 0.000115965, 3.34618e-05, 0.0252372, 0.0546268, 0.00517459, 3.47203e-05
256, 5, 0.000136296, 2.4849e-05, 0.025111, 0.0549897, 0.000116518, 3.45218e-05, 0.0253638, 0.0549897, 0.00676876, 4.74525e-05
256, 10, 0.000124819, 1.60708e-05, 0.0251582, 0.0550152, 0.00011297, 3.40305e-05, 0.025396, 0.0550152, 0.0148054, 3.31696e-05
512, 0.7, 0.000400569, 7.57369e-05, 0.0120698, 0.02228, 0.000384448, 0.000131724, 0.0128548, 0.0222805, 0.00772995, 3.76969e-05
512, 1, 0.000400886, 7.52174e-05, 0.0123292, 0.0222165, 0.000385886, 0.00013193, 0.013116, 0.022217, 0.00910047, 3.1934e-05
512, 1.6, 0.000400823, 7.27895e-05, 0.0134882, 0.0222473, 0.000387238, 0.000131696, 0.0142762, 0.0222478, 0.011975, 3.10773e-05
512, 3.5, 0.000399951, 5.8473e-05, 0.0288088, 0.0542933, 0.000388311, 0.000129714, 0.0295971, 0.0542934, 0.0234025, 0.000935688
512, 5, 0.000405255, 5.7544e-05, 0.0288866, 0.0544433, 0.000388336, 0.000127969, 0.0296802, 0.0544434, 0.0312884, 0.00085696
512, 10, 0.000402734, 6.03716e-05, 0.0289093, 0.0544859, 0.000387549, 0.00012975, 0.0296996, 0.0544861, 0.0595256, 0.000722124
