# (1) size, (2) sigma, (3) af kernel [s], (4) af cpy h->d mean [s], (5) af cpy h->d stddev [s], (6) af convolve mean [s], (7) af convolve stddev [s], (8) af cpy d->h mean [s], (9) af cpy d->h stddev [s], (10) af total mean [s], (11) af total stddev [s], (12) vigra mean [s], (13) vigra stddev [s]
256, 0.7, 0.107082, 0.000143924, 0.000178852, 0.0227394, 0.0454754, 7.9654e-05, 2.70601e-05, 0.0229629, 0.0454757, 0.00120788, 0.00024393
256, 1, 0.109014, 8.7065e-05, 1.2398e-05, 0.0210981, 0.0421051, 7.941e-05, 2.53206e-05, 0.0212646, 0.0421051, 0.0013546, 3.71177e-05
256, 1.6, 0.110089, 8.7078e-05, 9.44343e-06, 0.0210665, 0.0420746, 7.9152e-05, 2.4093e-05, 0.0212327, 0.0420746, 0.00181339, 3.52611e-05
256, 3.5, 0.102241, 9.2568e-05, 1.29833e-05, 0.0707814, 0.178158, 8.2218e-05, 2.81229e-05, 0.0709561, 0.178158, 0.00326414, 4.81076e-05
256, 5, 0.118334, 9.0096e-05, 1.50141e-05, 0.0494946, 0.11447, 8.2478e-05, 2.92008e-05, 0.0496672, 0.11447, 0.0040825, 9.86444e-05
256, 10, 0.114017, 8.9941e-05, 1.20577e-05, 0.0501476, 0.115058, 8.1334e-05, 2.65193e-05, 0.0503188, 0.115058, 0.00757337, 0.000104578
512, 0.7, 0.116374, 0.000291087, 6.68968e-05, 0.021748, 0.0433508, 0.000270623, 9.43086e-05, 0.0223097, 0.0433509, 0.00438891, 5.62077e-05
512, 1, 0.110942, 0.000286443, 6.14952e-05, 0.0209753, 0.0418064, 0.000270126, 9.37136e-05, 0.0215319, 0.0418065, 0.00525044, 6.37638e-05
512, 1.6, 0.114915, 0.000291611, 5.92864e-05, 0.0222191, 0.0441802, 0.000271593, 9.90799e-05, 0.0227823, 0.0441803, 0.00702311, 5.28676e-05
512, 3.5, 0.115254, 0.000289732, 5.64485e-05, 0.0475743, 0.111466, 0.0002722, 9.5147e-05, 0.0481362, 0.111466, 0.0121152, 0.000130011
512, 5, 0.105936, 0.000289028, 5.44404e-05, 0.0467464, 0.109612, 0.000273891, 9.83616e-05, 0.0473093, 0.109612, 0.0156555, 8.12186e-05
512, 10, 0.10334, 0.000294292, 5.27804e-05, 0.0484729, 0.111375, 0.00027334, 9.52086e-05, 0.0490406, 0.111375, 0.0299207, 0.000131203
1024, 0.7, 0.120999, 0.000824335, 6.91105e-05, 0.0196756, 0.0389734, 0.000790177, 0.000199055, 0.0212901, 0.038974, 0.017577, 0.000162544
1024, 1, 0.106346, 0.00081585, 6.41817e-05, 0.0220472, 0.043677, 0.000788988, 0.000188948, 0.0236521, 0.0436774, 0.0209765, 0.000147081
1024, 1.6, 0.139943, 0.0008683, 0.000100374, 0.0271542, 0.0535361, 0.000831626, 0.000239487, 0.0288541, 0.0535368, 0.0474612, 0.00371585
1024, 3.5, 0.11615, 0.000825807, 6.04647e-05, 0.0526461, 0.119716, 0.000791985, 0.000191134, 0.0542639, 0.119716, 0.0489439, 0.00024972
1024, 5, 0.109117, 0.000831361, 5.93e-05, 0.0479945, 0.10882, 0.00079272, 0.000193485, 0.0496186, 0.10882, 0.0633988, 0.000184379
1024, 10, 0.104873, 0.000832856, 0.000102308, 0.0486607, 0.110876, 0.000796915, 0.000202086, 0.0502905, 0.110876, 0.123464, 0.000259752
1500, 0.7, 0.107497, 0.00163375, 7.04543e-05, 0.0210804, 0.0414792, 0.00154719, 0.000293935, 0.0242613, 0.0414803, 0.0374391, 0.000269016
1500, 1, 0.104593, 0.00162938, 7.05307e-05, 0.0200205, 0.0391721, 0.00154628, 0.000286531, 0.0231961, 0.0391733, 0.0448209, 0.000131244
1500, 1.6, 0.10631, 0.00163708, 6.78807e-05, 0.0207388, 0.039769, 0.00153891, 0.00027411, 0.0239148, 0.03977, 0.0597375, 0.000215084
1500, 3.5, 0.103711, 0.00162959, 5.88132e-05, 0.0480259, 0.109118, 0.00154213, 0.000283638, 0.0511976, 0.109119, 0.105299, 0.000135289
1500, 5, 0.109103, 0.00163759, 7.16005e-05, 0.0502615, 0.111288, 0.00154306, 0.000282389, 0.0534421, 0.111288, 0.136345, 0.000170866
1500, 10, 0.128493, 0.00164977, 6.86025e-05, 0.0495913, 0.111567, 0.00155262, 0.000288611, 0.0527937, 0.111567, 0.26716, 0.000449833
2048, 0.7, 0.135942, 0.00294756, 7.88092e-05, 0.0268741, 0.052453, 0.00282205, 0.000449601, 0.0326437, 0.052455, 0.122905, 0.0023679
2048, 1, 0.115432, 0.00290594, 6.97276e-05, 0.0228983, 0.044279, 0.00279713, 0.000371853, 0.0286014, 0.0442806, 0.0843839, 0.000385346
2048, 1.6, 0.11865, 0.00290993, 6.28555e-05, 0.0236174, 0.0441675, 0.00278388, 0.000359659, 0.0293112, 0.044169, 0.112265, 0.000338137
2048, 3.5, 0.112286, 0.00291572, 7.13984e-05, 0.0555465, 0.111787, 0.00279173, 0.000333864, 0.061254, 0.111788, 0.196872, 0.000348341
2048, 5, 0.107712, 0.00291552, 7.1448e-05, 0.0548287, 0.1125, 0.00280916, 0.00036533, 0.0605534, 0.112501, 0.255308, 0.000201092
2048, 10, 0.116179, 0.00291264, 6.93542e-05, 0.0568429, 0.114609, 0.00280128, 0.000352171, 0.0625569, 0.11461, 0.499254, 0.000637744
2500, 0.7, 0.118475, 0.00425539, 7.21469e-05, 0.0228279, 0.0437898, 0.00406557, 0.000433683, 0.0311488, 0.043792, 0.104005, 0.000586521
2500, 1, 0.117171, 0.00424331, 5.87914e-05, 0.0237306, 0.0454306, 0.00406164, 0.000439199, 0.0320355, 0.0454327, 0.124563, 0.000362797
