# (1) size, (2) sigma, (3) af kernel [s], (4) af cpy h->d mean [s], (5) af cpy h->d stddev [s], (6) af convolve mean [s], (7) af convolve stddev [s], (8) af cpy d->h mean [s], (9) af cpy d->h stddev [s], (10) af total mean [s], (11) af total stddev [s], (12) vigra mean [s], (13) vigra stddev [s]
256, 0.7, 0.138624, 8.917e-05, 1.5469e-05, 0.0142681, 0.0427068, 7.98535e-05, 2.39924e-05, 0.0144371, 0.0427068, 0.00133196, 0.000304937
256, 1, 0.264542, 8.54415e-05, 1.17258e-05, 0.01593, 0.0496676, 7.61495e-05, 1.82767e-05, 0.0160916, 0.0496676, 0.00136395, 3.20892e-05
256, 1.6, 0.15847, 8.56745e-05, 1.56869e-05, 0.0137216, 0.0410369, 7.53645e-05, 2.2927e-05, 0.0138827, 0.0410369, 0.0018878, 0.000385144
256, 3.5, 0.117186, 8.548e-05, 1.19991e-05, 0.0254341, 0.0885362, 7.7468e-05, 1.94577e-05, 0.0255971, 0.0885362, 0.00329261, 5.03307e-05
256, 5, 0.117489, 8.7199e-05, 1.31685e-05, 0.0251371, 0.087083, 7.86205e-05, 1.90103e-05, 0.0253029, 0.087083, 0.00409955, 5.92846e-05
256, 10, 0.115664, 9.0264e-05, 2.02931e-05, 0.0252594, 0.0855293, 7.75145e-05, 2.49192e-05, 0.0254272, 0.0855293, 0.00772916, 5.86854e-05
512, 0.7, 0.115853, 0.000278792, 5.59456e-05, 0.0112071, 0.0334236, 0.000258493, 7.1358e-05, 0.0117444, 0.0334237, 0.00444735, 5.08319e-05
512, 1, 0.124748, 0.000279716, 5.63886e-05, 0.0108747, 0.0323863, 0.000260803, 7.52156e-05, 0.0114153, 0.0323865, 0.00530859, 5.43573e-05
512, 1.6, 0.119653, 0.000288936, 5.12727e-05, 0.0113183, 0.0335524, 0.000260036, 6.88854e-05, 0.0118672, 0.0335525, 0.00754477, 0.000604634
512, 3.5, 0.116906, 0.000308757, 4.08937e-05, 0.0251123, 0.0850663, 0.000266048, 7.04583e-05, 0.0256871, 0.0850664, 0.0123588, 0.000105542
512, 5, 0.118176, 0.000306309, 4.05775e-05, 0.0255138, 0.0864178, 0.000264334, 6.82339e-05, 0.0260845, 0.0864178, 0.0159363, 0.000110146
512, 10, 0.116537, 0.000311676, 5.11674e-05, 0.0263011, 0.0896083, 0.000268817, 6.82779e-05, 0.0268816, 0.0896083, 0.0304454, 0.000351048
1024, 0.7, 0.118322, 0.000826035, 5.07707e-05, 0.0112445, 0.0331613, 0.00075955, 0.000134118, 0.0128301, 0.0331616, 0.0178144, 8.87234e-05
1024, 1, 0.116739, 0.00082839, 5.02811e-05, 0.0111162, 0.0326665, 0.000763578, 0.000140547, 0.0127082, 0.0326668, 0.021446, 9.97213e-05
1024, 1.6, 0.122898, 0.000817991, 5.3323e-05, 0.0112019, 0.0323554, 0.000762235, 0.000141956, 0.0127821, 0.0323557, 0.0283835, 0.000147744
1024, 3.5, 0.118237, 0.000847065, 4.84603e-05, 0.0273958, 0.0884648, 0.000771793, 0.000147587, 0.0290147, 0.0884649, 0.0500518, 0.000198846
1024, 5, 0.118336, 0.000838333, 4.27421e-05, 0.0274254, 0.0885021, 0.000767411, 0.000146767, 0.0290311, 0.0885022, 0.0645523, 0.000157782
1024, 10, 0.109174, 0.000850465, 4.56578e-05, 0.0255033, 0.0822764, 0.000769045, 0.000135739, 0.0271228, 0.0822766, 0.125627, 0.000280597
