# size, sigma, af kernel [s], af cpy h->d mean [s], af cpy h->d stddev [s], af convolve mean [s], af convolve stddev [s], af cpy d->h mean [s], af cpy d->h stddev [s], af total mean [s], af total stddev [s], vigra mean [s], vigra stddev [s]
256, 0.7, 0.120447, 0.00012806, 0.000200497, 0.215967, 0.906979, 0.00109978, 0.000213362, 0.217195, 0.906979, 0.00119563, 9.31812e-05
256, 1, 0.146013, 8.64125e-05, 1.88629e-05, 0.0115162, 0.0344746, 7.6248e-05, 2.67957e-05, 0.0116789, 0.0344746, 0.0014232, 0.00018344
256, 1.6, 0.115114, 9.91925e-05, 1.11035e-05, 0.0119949, 0.0359844, 8.7214e-05, 1.65519e-05, 0.0121813, 0.0359844, 0.00313727, 0.000308872
256, 3.5, 0.117691, 8.6404e-05, 1.35243e-05, 0.0667279, 0.165497, 0.000105516, 1.59321e-05, 0.0669199, 0.165497, 0.00323033, 1.88642e-05
256, 5, 0.11599, 8.7481e-05, 1.22618e-05, 0.0305785, 0.095706, 7.70415e-05, 1.90701e-05, 0.0307431, 0.095706, 0.00432074, 5.15301e-05
256, 10, 0.122675, 8.9366e-05, 1.40158e-05, 0.0574149, 0.120876, 0.000679424, 0.000518649, 0.0581837, 0.120877, 0.00998681, 0.0015645
512, 0.7, 0.113504, 0.000275409, 5.87316e-05, 0.0128662, 0.0389949, 0.000255522, 7.93765e-05, 0.0133972, 0.0389951, 0.00463407, 4.79752e-05
512, 1, 0.124093, 0.000277427, 6.78235e-05, 0.0122792, 0.0333747, 0.0012274, 0.000327041, 0.0137841, 0.0333764, 0.00558669, 3.12133e-05
512, 1.6, 0.116412, 0.000303288, 6.18289e-05, 0.0108546, 0.0321859, 0.000260421, 7.2238e-05, 0.0114183, 0.0321861, 0.00761022, 0.000690055
512, 3.5, 0.116294, 0.000288379, 4.30615e-05, 0.0308323, 0.101886, 0.00123174, 0.000325938, 0.0323525, 0.101886, 0.013491, 0.000252423
512, 5, 0.118579, 0.000301586, 4.01312e-05, 0.056977, 0.11982, 0.000550415, 0.000481053, 0.057829, 0.119821, 0.0177604, 9.00447e-05
512, 10, 0.117791, 0.000325517, 5.40514e-05, 0.0301507, 0.0921683, 0.000754943, 0.000518631, 0.0312311, 0.0921698, 0.040939, 0.000166698
1024, 0.7, 0.122699, 0.000833335, 4.68952e-05, 0.0121231, 0.0327035, 0.00166586, 0.000559882, 0.0146223, 0.0327083, 0.0195798, 0.0001821
1024, 1, 0.119226, 0.000853389, 5.31024e-05, 0.010867, 0.0319659, 0.000764593, 0.000161114, 0.012485, 0.0319663, 0.0230599, 0.000323916
1024, 1.6, 0.122297, 0.000834581, 4.11537e-05, 0.213421, 0.870417, 0.00160483, 0.000567817, 0.215861, 0.870417, 0.0300703, 0.000337853
1024, 3.5, 0.122202, 0.000856032, 5.29307e-05, 0.0274619, 0.0883453, 0.000763074, 0.000143322, 0.029081, 0.0883454, 0.0563368, 0.00101156
1024, 5, 0.119979, 0.000847404, 4.4687e-05, 0.0544324, 0.114072, 0.00113588, 0.000647772, 0.0564157, 0.114074, 0.0737666, 0.00103584
1024, 10, 0.139582, 0.000851597, 5.42037e-05, 0.242341, 0.854243, 0.00136232, 0.000505635, 0.244555, 0.854243, 0.170413, 0.000973731
1500, 0.7, 0.167323, 0.00164431, 5.27304e-05, 0.0123646, 0.032659, 0.00218081, 0.00106031, 0.0161898, 0.0326763, 0.0429721, 0.000661004
1500, 1, 0.120256, 0.00163993, 4.84951e-05, 0.0316663, 0.0598611, 0.00238443, 0.00122248, 0.0356907, 0.0598736, 0.0493044, 0.000127945
1500, 1.6, 0.115601, 0.00164125, 4.89539e-05, 0.0148079, 0.0401105, 0.00210817, 0.000899176, 0.0185574, 0.0401206, 0.0645434, 0.00055861
1500, 3.5, 0.12049, 0.00164286, 5.30639e-05, 0.0504173, 0.120892, 0.00168721, 0.00100732, 0.0537474, 0.120896, 0.121499, 0.00201425
1500, 5, 0.125387, 0.00164458, 4.36863e-05, 0.24807, 0.980318, 0.00219341, 0.00132846, 0.251908, 0.980319, 0.159852, 0.000778005
1500, 10, 0.129057, 0.00164967, 4.69557e-05, 0.436246, 1.25542, 0.00233831, 0.00124148, 0.440234, 1.25542, 0.374159, 0.00161532
2048, 0.7, 0.126378, 0.00294037, 0.000100206, 0.0115442, 0.0325594, 0.00303212, 0.000939632, 0.0175167, 0.0325731, 0.0784727, 0.000769287
2048, 1, 0.125838, 0.00291872, 4.58628e-05, 0.0288568, 0.0552908, 0.00357042, 0.00206941, 0.0353459, 0.0553295, 0.0924908, 0.00108929
2048, 1.6, 0.114784, 0.0029172, 5.2261e-05, 0.230794, 0.869812, 0.00482851, 0.00137143, 0.23854, 0.869813, 0.120312, 9.61644e-05
2048, 3.5, 0.126131, 0.00292465, 5.18619e-05, 0.269982, 0.879006, 0.00389042, 0.00140853, 0.276797, 0.879007, 0.229286, 0.00469758
2048, 5, 0.118943, 0.00292031, 4.15232e-05, 0.468358, 1.29175, 0.00406525, 0.0022052, 0.475343, 1.29175, 0.290578, 0.00212938
2048, 10, 0.119342, 0.00292073, 5.48684e-05, 0.461944, 1.12946, 0.00360806, 0.00135655, 0.468473, 1.12946, 0.693575, 0.0147807
2500, 0.7, 0.114953, 0.00426986, 4.54398e-05, 0.223577, 0.872744, 0.00632482, 0.00262976, 0.234171, 0.872748, 0.115493, 0.000982322
2500, 1, 0.144005, 0.0042672, 4.45453e-05, 0.215817, 0.8667, 0.00647305, 0.00185768, 0.226557, 0.866702, 0.137196, 0.00139078
2500, 1.6, 0.124658, 0.00426313, 4.75442e-05, 0.208135, 0.837145, 0.00598911, 0.00196359, 0.218388, 0.837147, 0.179818, 0.00150254
2500, 3.5, 0.115046, 0.00426904, 5.57094e-05, 0.249877, 0.813912, 0.00525874, 0.00189212, 0.259405, 0.813914, 0.333599, 0.00296811
2500, 5, 0.118229, 0.00426663, 5.99402e-05, 0.248763, 0.781968, 0.00539898, 0.00307027, 0.258428, 0.781974, 0.443216, 0.00201288
2500, 10, 0.118931, 0.00426289, 5.65827e-05, 0.0353464, 0.0885243, 0.00403507, 0.000392523, 0.0436444, 0.0885252, 1.03668, 0.00704929
3072, 0.7, 0.117594, 0.00636037, 5.63252e-05, 0.0136454, 0.0334017, 0.00596954, 0.000440282, 0.0259753, 0.0334047, 0.181158, 0.00220482
3072, 1, 0.14799, 0.00636322, 6.71586e-05, 0.0129603, 0.0324449, 0.0062609, 0.000833688, 0.0255844, 0.0324557, 0.204238, 0.00257658
3072, 1.6, 0.118014, 0.00635726, 5.58659e-05, 0.0147119, 0.0329335, 0.00600877, 0.000458683, 0.0270779, 0.0329368, 0.268981, 0.00350162
3072, 3.5, 0.115467, 0.00635649, 4.76262e-05, 0.0357266, 0.0849402, 0.00610334, 0.000598361, 0.0481865, 0.0849423, 0.501691, 0.00824138
3072, 5, 0.119969, 0.00635729, 4.66426e-05, 0.0353968, 0.0855953, 0.00600584, 0.000436682, 0.0477599, 0.0855965, 0.672665, 0.0115637
3072, 10, 0.118229, 0.00640636, 0.000106023, 0.0407854, 0.0877292, 0.00614532, 0.00050377, 0.0533371, 0.0877308, 2.23877, 0.327061
3500, 0.7, 0.120396, 0.00820074, 6.70105e-05, 0.0131141, 0.033112, 0.00780087, 0.000699938, 0.0291157, 0.0331195, 0.224953, 0.00129853
3500, 1, 0.132629, 0.00819545, 5.80166e-05, 0.0132249, 0.0324555, 0.00775673, 0.000557694, 0.0291771, 0.0324604, 0.266423, 0.005904
3500, 1.6, 0.122831, 0.00820177, 5.81037e-05, 0.0177268, 0.0332766, 0.00772795, 0.000563178, 0.0336565, 0.0332814, 0.349398, 0.0014461
3500, 3.5, 0.116128, 0.00820451, 4.8289e-05, 0.227041, 0.824623, 0.00856613, 0.00250155, 0.243812, 0.824627, 0.633957, 0.00370135
3500, 5, 0.117766, 0.00821204, 5.70296e-05, 0.400413, 1.03236, 0.0104648, 0.00370583, 0.41909, 1.03236, 0.850156, 0.00682482
3500, 10, 0.12037, 0.00820291, 5.38278e-05, 0.681815, 1.07777, 0.0124917, 0.00605131, 0.702509, 1.07779, 1.99864, 0.00785878
