# size, sigma, af kernel [s], af cpy h->d mean [s], af cpy h->d stddev [s], af convolve mean [s], af convolve stddev [s], af cpy d->h mean [s], af cpy d->h stddev [s], af total mean [s], af total stddev [s], vigra mean [s], vigra stddev [s]
256, 0.7, 0.117675, 8.28135e-05, 1.18819e-05, 0.0108028, 0.0322902, 7.5554e-05, 1.88588e-05, 0.0109611, 0.0322902, 0.00116871, 1.45592e-05
256, 1, 0.118805, 8.2842e-05, 1.19359e-05, 0.0109401, 0.0326933, 7.5593e-05, 1.89693e-05, 0.0110985, 0.0326933, 0.00137591, 1.25521e-05
256, 1.6, 0.109089, 8.3336e-05, 1.20374e-05, 0.0100418, 0.0299531, 7.4202e-05, 2.13985e-05, 0.0101993, 0.0299531, 0.00185843, 1.81089e-05
256, 3.5, 0.117444, 8.46795e-05, 1.21724e-05, 0.0251901, 0.087371, 7.80595e-05, 1.92932e-05, 0.0253528, 0.087371, 0.0032896, 5.03507e-05
256, 5, 0.115732, 8.5089e-05, 1.30524e-05, 0.0245808, 0.0851771, 7.7657e-05, 1.93133e-05, 0.0247436, 0.0851771, 0.00431282, 3.4494e-05
256, 10, 0.117671, 8.7087e-05, 1.19455e-05, 0.0253988, 0.0873173, 7.78835e-05, 1.88064e-05, 0.0255637, 0.0873173, 0.00970094, 5.06799e-05
512, 0.7, 0.106344, 0.000273402, 5.10967e-05, 0.00991852, 0.0295514, 0.000255697, 7.28158e-05, 0.0104476, 0.0295515, 0.00469581, 5.97626e-05
512, 1, 0.10464, 0.000276038, 4.94135e-05, 0.00967371, 0.0287867, 0.000256316, 7.16807e-05, 0.0102061, 0.0287868, 0.00560253, 4.6535e-05
512, 1.6, 0.139268, 0.00027982, 5.99826e-05, 0.0108447, 0.0321706, 0.000255286, 7.10773e-05, 0.0113798, 0.0321708, 0.00725527, 6.01902e-05
512, 3.5, 0.117036, 0.000285598, 4.31271e-05, 0.0254814, 0.0866878, 0.000261592, 7.05904e-05, 0.0260286, 0.0866879, 0.0133368, 7.08423e-05
512, 5, 0.11531, 0.000282179, 4.50645e-05, 0.0254012, 0.086174, 0.000261383, 7.10658e-05, 0.0259447, 0.0861741, 0.0179009, 0.000157059
512, 10, 0.117706, 0.000301384, 4.14665e-05, 0.0255346, 0.0868582, 0.000262371, 7.06722e-05, 0.0260984, 0.0868582, 0.0409305, 0.000132561
1024, 0.7, 0.120417, 0.000831275, 5.1508e-05, 0.0102251, 0.0300974, 0.000758894, 0.000143736, 0.0118153, 0.0300978, 0.0195935, 8.78879e-05
1024, 1, 0.115831, 0.000833519, 5.34169e-05, 0.0107558, 0.0315911, 0.000761192, 0.000146282, 0.0123505, 0.0315914, 0.0231205, 0.000156083
1024, 1.6, 0.118597, 0.000834756, 4.70415e-05, 0.0113141, 0.0326787, 0.000759594, 0.000139614, 0.0129084, 0.032679, 0.0299955, 0.000123212
1024, 3.5, 0.11836, 0.00084281, 4.58971e-05, 0.0264079, 0.0860113, 0.000763197, 0.000139493, 0.0280139, 0.0860114, 0.054802, 0.000158817
1024, 5, 0.10964, 0.000845453, 5.24121e-05, 0.0258675, 0.0838232, 0.000764045, 0.000148133, 0.027477, 0.0838233, 0.0731328, 0.000497265
1024, 10, 0.111509, 0.000848099, 5.271e-05, 0.0262127, 0.0851387, 0.000764112, 0.000143664, 0.0278249, 0.0851388, 0.170515, 0.000488705
1500, 0.7, 0.107512, 0.0016329, 4.55358e-05, 0.0103642, 0.0300021, 0.00149239, 0.000213518, 0.0134895, 0.0300029, 0.0419802, 4.61485e-05
1500, 1, 0.121579, 0.00164232, 5.95322e-05, 0.0110109, 0.0317667, 0.00149403, 0.000222544, 0.0141472, 0.0317675, 0.0493425, 0.000297863
1500, 1.6, 0.117444, 0.00163503, 4.81646e-05, 0.011141, 0.0309009, 0.0014875, 0.000219242, 0.0142635, 0.0309017, 0.064978, 0.00023189
1500, 3.5, 0.108891, 0.00163498, 6.45504e-05, 0.0265174, 0.0839364, 0.00148949, 0.000211921, 0.0296419, 0.0839367, 0.118925, 0.000343351
1500, 5, 0.108536, 0.00164625, 6.56655e-05, 0.0259057, 0.0833564, 0.00149162, 0.000215723, 0.0290436, 0.0833567, 0.160204, 0.000431348
1500, 10, 0.115006, 0.00164264, 5.0994e-05, 0.0264518, 0.0850802, 0.00150007, 0.000223131, 0.0295945, 0.0850805, 0.375194, 0.000357587
2048, 0.7, 0.112454, 0.00291302, 4.54728e-05, 0.011123, 0.0314813, 0.002728, 0.000255254, 0.0167641, 0.0314823, 0.0801923, 0.000184823
2048, 1, 0.113668, 0.00292148, 4.88909e-05, 0.0113591, 0.0317921, 0.00272811, 0.000255009, 0.0170087, 0.0317932, 0.0955425, 0.000325733
2048, 1.6, 0.108964, 0.00291981, 4.36307e-05, 0.0120502, 0.0316127, 0.00272815, 0.000256727, 0.0176982, 0.0316138, 0.121661, 0.000243568
2048, 3.5, 0.107817, 0.00292461, 4.88054e-05, 0.0312073, 0.0832661, 0.00273924, 0.000255118, 0.0368711, 0.0832665, 0.217861, 0.00232607
2048, 5, 0.108597, 0.00292338, 4.48825e-05, 0.0310785, 0.0824589, 0.00273501, 0.00025051, 0.0367368, 0.0824592, 0.291152, 0.00117009
