# (1) size, (2) sigma, (3) af kernel [s], (4) af cpy h->d mean [s], (5) af cpy h->d stddev [s], (6) af convolve mean [s], (7) af convolve stddev [s], (8) af cpy d->h mean [s], (9) af cpy d->h stddev [s], (10) af total mean [s], (11) af total stddev [s], (12) vigra mean [s], (13) vigra stddev [s]
256, 0.7, 0.144002, 8.80835e-05, 1.05361e-05, 0.0136175, 0.0407251, 8.26415e-05, 2.37656e-05, 0.0137883, 0.0407251, 0.00118152, 1.6076e-05
256, 1, 0.139817, 8.8251e-05, 1.08562e-05, 0.0126669, 0.0378665, 8.25245e-05, 2.25107e-05, 0.0128377, 0.0378665, 0.00143807, 2.17941e-05
256, 1.6, 0.144278, 8.7376e-05, 1.18671e-05, 0.0125732, 0.0375401, 8.2102e-05, 2.47103e-05, 0.0127427, 0.0375401, 0.00189208, 2.21035e-05
256, 3.5, 0.139734, 8.82445e-05, 1.36646e-05, 0.0420735, 0.154918, 8.23285e-05, 2.33327e-05, 0.0422441, 0.154918, 0.00326246, 2.91423e-05
256, 5, 0.127277, 8.614e-05, 1.09925e-05, 0.0279375, 0.095896, 8.09945e-05, 2.10025e-05, 0.0281046, 0.095896, 0.00416965, 3.01138e-05
256, 10, 0.134878, 8.51275e-05, 1.1102e-05, 0.0279613, 0.0961053, 8.09995e-05, 2.1236e-05, 0.0281274, 0.0961053, 0.00745752, 1.82546e-05
512, 0.7, 0.128428, 0.00028044, 4.33775e-05, 0.012422, 0.0370593, 0.000272353, 8.64253e-05, 0.0129748, 0.0370595, 0.00464506, 6.99713e-05
512, 1, 0.121502, 0.000278009, 3.95799e-05, 0.0119528, 0.0356262, 0.000271165, 8.62512e-05, 0.012502, 0.0356263, 0.0055599, 5.44671e-05
512, 1.6, 0.122576, 0.000278819, 4.1268e-05, 0.0121557, 0.0360781, 0.000272248, 8.82912e-05, 0.0127068, 0.0360782, 0.00740878, 6.4451e-05
512, 3.5, 0.132202, 0.000279545, 4.4749e-05, 0.0281261, 0.0952291, 0.000270236, 7.91362e-05, 0.0286759, 0.0952292, 0.0130026, 8.29843e-05
512, 5, 0.129602, 0.000279745, 4.47763e-05, 0.0278425, 0.0950082, 0.000270506, 8.52744e-05, 0.0283928, 0.0950082, 0.0168661, 5.94187e-05
512, 10, 0.130203, 0.000281104, 4.45712e-05, 0.0279409, 0.0953282, 0.000269795, 7.81024e-05, 0.0284918, 0.0953282, 0.0298214, 8.91031e-05
1024, 0.7, 0.127448, 0.000803166, 5.0533e-05, 0.0123281, 0.0364431, 0.000804601, 0.000303933, 0.0139359, 0.0364444, 0.0184886, 0.000248795
1024, 1, 0.131469, 0.000803256, 5.03157e-05, 0.0135694, 0.0401846, 0.000803707, 0.000302888, 0.0151763, 0.0401858, 0.0221925, 0.000270143
1024, 1.6, 0.130794, 0.000803248, 4.91279e-05, 0.012686, 0.0368298, 0.000802714, 0.000297385, 0.0142919, 0.0368311, 0.0297078, 0.000203205
1024, 3.5, 0.128872, 0.000803094, 4.31479e-05, 0.0303703, 0.0989451, 0.000794154, 0.000258687, 0.0319675, 0.0989454, 0.0529626, 0.000904512
1024, 5, 0.126842, 0.000803896, 4.44035e-05, 0.0295507, 0.095599, 0.000793847, 0.000252754, 0.0311484, 0.0955994, 0.0678641, 0.000152736
1024, 10, 0.127321, 0.000802629, 4.42431e-05, 0.0299713, 0.0979901, 0.000796571, 0.000260455, 0.0315705, 0.0979904, 0.123478, 0.000112576
1500, 0.7, 0.126955, 0.00163075, 5.28332e-05, 0.012362, 0.0359865, 0.00158637, 0.000611383, 0.0155791, 0.0359918, 0.0391296, 0.000239744
1500, 1, 0.130662, 0.00163272, 5.15528e-05, 0.0127063, 0.0368267, 0.00158574, 0.000607545, 0.0159247, 0.0368317, 0.0472172, 0.000133956
1500, 1.6, 0.130827, 0.00163035, 4.92941e-05, 0.0129374, 0.0362561, 0.00158886, 0.000616779, 0.0161566, 0.0362614, 0.0634005, 0.000112031
1500, 3.5, 0.13081, 0.00163393, 4.50135e-05, 0.0295476, 0.0957663, 0.00156859, 0.000512565, 0.0327501, 0.0957677, 0.112764, 0.00013734
1500, 5, 0.12848, 0.0016343, 4.8288e-05, 0.030407, 0.0964375, 0.00156974, 0.000516999, 0.0336111, 0.0964389, 0.145912, 8.28368e-05
1500, 10, 0.132991, 0.00163407, 4.85647e-05, 0.0297724, 0.0958721, 0.00156175, 0.000513656, 0.0329683, 0.0958735, 0.26599, 0.000105935
2048, 0.7, 0.129138, 0.00293093, 5.10236e-05, 0.0129028, 0.0367888, 0.00292874, 0.00110385, 0.0187625, 0.0368054, 0.0797918, 0.00021921
2048, 1, 0.129852, 0.00293378, 5.00671e-05, 0.0129939, 0.0366852, 0.00292166, 0.00111556, 0.0188494, 0.0367022, 0.0947525, 0.000199473
