# (1) size, (2) sigma, (3) af kernel [s], (4) af cpy h->d mean [s], (5) af cpy h->d stddev [s], (6) af convolve mean [s], (7) af convolve stddev [s], (8) af cpy d->h mean [s], (9) af cpy d->h stddev [s], (10) af total mean [s], (11) af total stddev [s], (12) vigra mean [s], (13) vigra stddev [s]
256, 0.7, 0.1255, 9.58925e-05, 7.73966e-06, 0.0124717, 0.0372667, 8.49485e-05, 2.08698e-05, 0.0126525, 0.0372667, 0.00148459, 4.50924e-05
256, 1, 0.129213, 9.43415e-05, 5.69653e-06, 0.0121749, 0.0363709, 8.50725e-05, 1.96296e-05, 0.0123543, 0.0363709, 0.00171573, 3.82088e-05
256, 1.6, 0.12462, 9.53855e-05, 7.84626e-06, 0.0119872, 0.0357557, 8.519e-05, 2.08802e-05, 0.0121678, 0.0357557, 0.00218929, 4.30548e-05
256, 3.5, 0.127758, 9.3319e-05, 9.58265e-06, 0.0282325, 0.0978008, 8.2553e-05, 1.95364e-05, 0.0284083, 0.0978008, 0.00364046, 0.000112293
256, 5, 0.124167, 9.2987e-05, 9.36083e-06, 0.028342, 0.0981907, 8.4745e-05, 2.05075e-05, 0.0285197, 0.0981907, 0.00447776, 8.34951e-05
256, 10, 0.127182, 8.9848e-05, 9.51836e-06, 0.0275932, 0.0957582, 8.2847e-05, 2.20605e-05, 0.0277659, 0.0957582, 0.0078594, 0.000161246
512, 0.7, 0.127229, 0.000290288, 3.84873e-05, 0.0125541, 0.0374379, 0.000279124, 8.72904e-05, 0.0131235, 0.037438, 0.00514323, 0.000118671
512, 1, 0.129727, 0.000292457, 4.40225e-05, 0.0125633, 0.0374406, 0.000281865, 8.74553e-05, 0.0131376, 0.0374407, 0.00609516, 0.000117456
512, 1.6, 0.126376, 0.000287351, 4.23927e-05, 0.0136994, 0.0408056, 0.00027864, 9.00959e-05, 0.0142654, 0.0408058, 0.00792464, 0.000134011
512, 3.5, 0.129635, 0.000285018, 4.41485e-05, 0.0286792, 0.0982848, 0.000275506, 8.2086e-05, 0.0292397, 0.0982848, 0.0135697, 8.28665e-05
512, 5, 0.127977, 0.000287267, 4.3722e-05, 0.0288153, 0.0960978, 0.000272362, 7.69e-05, 0.0293749, 0.0960978, 0.0170995, 0.00010001
512, 10, 0.126399, 0.000285544, 4.45517e-05, 0.0279535, 0.0953655, 0.000270964, 7.69098e-05, 0.02851, 0.0953656, 0.0302333, 6.82286e-05
1024, 0.7, 0.126377, 0.00083422, 5.38206e-05, 0.0127937, 0.0377964, 0.000813752, 0.000300491, 0.0144417, 0.0377977, 0.00536911, 0.000184421
1024, 1, 0.12756, 0.00082902, 5.68042e-05, 0.0125699, 0.0370358, 0.000809471, 0.000293128, 0.0142084, 0.037037, 0.00627884, 0.000183115
1024, 1.6, 0.126093, 0.000828171, 5.18806e-05, 0.0127578, 0.0370022, 0.000808057, 0.000294974, 0.014394, 0.0370034, 0.0081397, 0.00018109
1024, 3.5, 0.123578, 0.000819758, 4.25011e-05, 0.0286906, 0.0930099, 0.000797356, 0.000246995, 0.0303077, 0.0930103, 0.013997, 9.46229e-05
1024, 5, 0.128793, 0.000823516, 4.30124e-05, 0.0292766, 0.0952813, 0.000796554, 0.000250138, 0.0308967, 0.0952817, 0.0177071, 9.59338e-05
1024, 10, 0.127362, 0.000828649, 4.15168e-05, 0.0294977, 0.0956173, 0.000795392, 0.000252231, 0.0311217, 0.0956176, 0.0317951, 0.000168946
1500, 0.7, 0.130275, 0.0016596, 5.44344e-05, 0.0118244, 0.0344118, 0.00159062, 0.000611161, 0.0150746, 0.0344172, 0.00930957, 0.000759597
1500, 1, 0.129902, 0.00166207, 5.51515e-05, 0.0126685, 0.0366881, 0.00158617, 0.000591773, 0.0159167, 0.0366929, 0.0111659, 0.000805105
1500, 1.6, 0.128277, 0.00166371, 5.82663e-05, 0.0131748, 0.0369368, 0.00159151, 0.000612614, 0.01643, 0.0369419, 0.0146299, 0.00063066
1500, 3.5, 0.126463, 0.00166893, 5.77894e-05, 0.0295831, 0.0945781, 0.00157076, 0.000515325, 0.0328228, 0.0945795, 0.0255529, 0.000544335
1500, 5, 0.130177, 0.00166085, 5.25396e-05, 0.029322, 0.0956768, 0.00157236, 0.000522913, 0.0325552, 0.0956783, 0.0332791, 0.00080263
1500, 10, 0.133576, 0.00165571, 5.88427e-05, 0.0292289, 0.0945477, 0.00157633, 0.000528949, 0.032461, 0.0945492, 0.0558326, 0.000615259
2048, 0.7, 0.128831, 0.00295316, 5.66681e-05, 0.0131117, 0.0374124, 0.00293095, 0.001103, 0.0189958, 0.0374287, 0.0150979, 0.00126039
2048, 1, 0.130642, 0.00294084, 5.10015e-05, 0.0123899, 0.0348719, 0.00291932, 0.00106088, 0.0182501, 0.034888, 0.0182565, 0.00186213
