# (1) size, (2) sigma, (3) af kernel [s], (4) af cpy h->d mean [s], (5) af cpy h->d stddev [s], (6) af convolve mean [s], (7) af convolve stddev [s], (8) af cpy d->h mean [s], (9) af cpy d->h stddev [s], (10) af total mean [s], (11) af total stddev [s], (12) vigra mean [s], (13) vigra stddev [s]
256, 0.7, 0.121111, 0.000107139, 5.73289e-05, 0.0150279, 0.0449366, 8.8396e-05, 3.51984e-05, 0.0152234, 0.0449366, 0.00145964, 5.1476e-05
256, 1, 0.122908, 9.462e-05, 6.90474e-06, 0.0122666, 0.0366402, 8.64085e-05, 2.12296e-05, 0.0124476, 0.0366402, 0.00160961, 4.6419e-05
256, 1.6, 0.122146, 9.36565e-05, 5.42761e-06, 0.0125841, 0.0375461, 8.6008e-05, 2.44457e-05, 0.0127637, 0.0375461, 0.00192069, 4.20906e-05
256, 3.5, 0.124653, 9.59285e-05, 1.21654e-05, 0.0432497, 0.160182, 8.834e-05, 2.83045e-05, 0.0434339, 0.160182, 0.00308994, 0.000103988
256, 5, 0.125828, 9.39405e-05, 1.19071e-05, 0.0274979, 0.0949697, 8.3858e-05, 2.02699e-05, 0.0276757, 0.0949697, 0.00393078, 9.44574e-05
256, 10, 0.127512, 9.0534e-05, 1.01452e-05, 0.0282382, 0.0976933, 8.136e-05, 2.05458e-05, 0.0284101, 0.0976933, 0.00744037, 5.68611e-05
512, 0.7, 0.140778, 0.000296533, 4.45399e-05, 0.0127695, 0.0380795, 0.000284474, 8.97991e-05, 0.0133505, 0.0380796, 0.00501408, 0.000113689
512, 1, 0.130132, 0.000289185, 4.1081e-05, 0.0127434, 0.0379744, 0.000279853, 8.71219e-05, 0.0133125, 0.0379745, 0.00558859, 0.000114277
512, 1.6, 0.127291, 0.000290711, 4.59845e-05, 0.0126972, 0.0376851, 0.000279633, 8.48456e-05, 0.0132676, 0.0376852, 0.00686019, 0.000123294
512, 3.5, 0.130533, 0.000286465, 4.6514e-05, 0.0281827, 0.0960259, 0.000271885, 7.91417e-05, 0.028741, 0.096026, 0.0115826, 0.000102559
512, 5, 0.126455, 0.000287268, 4.70535e-05, 0.0276724, 0.0948332, 0.000272702, 7.90076e-05, 0.0282324, 0.0948332, 0.014543, 8.72869e-05
512, 10, 0.131294, 0.000287804, 4.79769e-05, 0.0281118, 0.0957546, 0.000273724, 7.97763e-05, 0.0286733, 0.0957547, 0.0285073, 7.63853e-05
