# (1) size, (2) sigma, (3) af kernel [s], (4) af cpy h->d mean [s], (5) af cpy h->d stddev [s], (6) af convolve mean [s], (7) af convolve stddev [s], (8) af cpy d->h mean [s], (9) af cpy d->h stddev [s], (10) af total mean [s], (11) af total stddev [s], (12) vigra mean [s], (13) vigra stddev [s]
256, 0.7, 0.122495, 9.59e-05, 7.19255e-06, 0.0122482, 0.0365922, 8.47545e-05, 2.03293e-05, 0.0124288, 0.0365922, 0.00146126, 4.24697e-05
256, 1, 0.13033, 9.5641e-05, 7.29479e-06, 0.0127037, 0.0379563, 8.56405e-05, 2.14234e-05, 0.012885, 0.0379563, 0.00164208, 4.11977e-05
256, 1.6, 0.131392, 9.5711e-05, 7.64491e-06, 0.0126487, 0.0377462, 8.6997e-05, 2.19501e-05, 0.0128314, 0.0377462, 0.00193392, 4.40177e-05
256, 3.5, 0.130213, 9.41435e-05, 1.12745e-05, 0.0280194, 0.0969061, 8.36545e-05, 2.10788e-05, 0.0281972, 0.0969061, 0.00303638, 8.63054e-05
256, 5, 0.129501, 9.28385e-05, 1.28906e-05, 0.0276726, 0.0955421, 8.3203e-05, 2.08508e-05, 0.0278487, 0.0955421, 0.00393659, 0.000115974
256, 10, 0.130499, 9.0602e-05, 9.07926e-06, 0.0285755, 0.0969246, 8.247e-05, 2.03005e-05, 0.0287486, 0.0969246, 0.00749121, 6.90239e-05
512, 0.7, 0.127246, 0.000292047, 4.16051e-05, 0.0130777, 0.0390862, 0.000282135, 8.82937e-05, 0.0136519, 0.0390864, 0.00498732, 0.000125743
512, 1, 0.131643, 0.000291818, 3.95876e-05, 0.012634, 0.0376576, 0.000282075, 8.99733e-05, 0.0132079, 0.0376578, 0.00561307, 0.000110379
512, 1.6, 0.144561, 0.000293473, 4.25289e-05, 0.0125318, 0.03719, 0.000282671, 9.1992e-05, 0.0131079, 0.0371901, 0.0068665, 0.000133021
512, 3.5, 0.129673, 0.000283735, 4.30721e-05, 0.0279805, 0.0954821, 0.000272449, 7.81652e-05, 0.0285367, 0.0954821, 0.0116111, 9.09746e-05
512, 5, 0.132205, 0.000286485, 4.76303e-05, 0.0283008, 0.0960536, 0.000275851, 7.83135e-05, 0.0288631, 0.0960537, 0.0145285, 9.45959e-05
512, 10, 0.131404, 0.000286122, 4.43381e-05, 0.0277643, 0.0947611, 0.000274967, 8.10665e-05, 0.0283254, 0.0947611, 0.0284845, 8.86971e-05
1024, 0.7, 0.147828, 0.000834375, 5.92754e-05, 0.0130743, 0.0386448, 0.000813127, 0.000307324, 0.0147218, 0.038646, 0.00516632, 0.000220897
1024, 1, 0.128128, 0.00082779, 5.7798e-05, 0.0123878, 0.0364915, 0.000806419, 0.00028537, 0.014022, 0.0364927, 0.00579242, 0.000162067
1024, 1.6, 0.129494, 0.000831184, 5.51129e-05, 0.0129129, 0.0374762, 0.000805486, 0.000290562, 0.0145496, 0.0374774, 0.00706126, 0.000199068
1024, 3.5, 0.128752, 0.00082551, 4.33643e-05, 0.0296943, 0.0961307, 0.000797601, 0.000250892, 0.0313175, 0.096131, 0.0119061, 9.03787e-05
1024, 5, 0.143497, 0.000820886, 4.81221e-05, 0.0288078, 0.0934615, 0.000797241, 0.000247698, 0.030426, 0.0934618, 0.0149333, 8.71958e-05
1024, 10, 0.138309, 0.000822734, 4.33375e-05, 0.0294167, 0.0957924, 0.000801387, 0.00026248, 0.0310408, 0.0957927, 0.0296187, 0.000122362
1500, 0.7, 0.132276, 0.00166131, 6.29753e-05, 0.0130399, 0.0379981, 0.00159002, 0.000614892, 0.0162913, 0.0380031, 0.00889938, 0.000889294
1500, 1, 0.131034, 0.00166215, 6.34008e-05, 0.0129867, 0.0376404, 0.00159112, 0.000610364, 0.01624, 0.0376454, 0.00993456, 0.000692307
1500, 1.6, 0.129454, 0.00165765, 5.70917e-05, 0.0127544, 0.0356929, 0.00158601, 0.000583289, 0.0159981, 0.0356978, 0.012288, 0.000558247
1500, 3.5, 0.127227, 0.00166298, 5.24368e-05, 0.0291082, 0.0938871, 0.00157083, 0.000515344, 0.032342, 0.0938885, 0.0196525, 0.000272317
1500, 5, 0.130649, 0.00165667, 5.49583e-05, 0.0293927, 0.0961236, 0.00156408, 0.000506119, 0.0326135, 0.0961249, 0.0247992, 0.000284558
1500, 10, 0.151329, 0.00166357, 5.20851e-05, 0.0296839, 0.0963335, 0.00157167, 0.0005283, 0.0329191, 0.0963349, 0.048062, 0.000580672
2048, 0.7, 0.130194, 0.00294562, 6.49359e-05, 0.012916, 0.0368185, 0.0029341, 0.00110367, 0.0187957, 0.0368351, 0.0144208, 0.00125154
2048, 1, 0.128336, 0.00294709, 5.52267e-05, 0.0132023, 0.0373008, 0.00293163, 0.00110158, 0.019081, 0.0373171, 0.0164392, 0.00145066
2048, 1.6, 0.130814, 0.0029518, 5.15214e-05, 0.0139833, 0.0373116, 0.00293104, 0.00109403, 0.0198662, 0.0373276, 0.0202494, 0.00154379
2048, 3.5, 0.1294, 0.00294602, 6.03316e-05, 0.0357937, 0.0988547, 0.00289163, 0.000922382, 0.0416314, 0.098859, 0.0322243, 0.000107545
2048, 5, 0.129243, 0.00295067, 5.64426e-05, 0.0349166, 0.0958342, 0.00289413, 0.000924644, 0.0407614, 0.0958386, 0.0405752, 0.000117974
2048, 10, 0.131528, 0.00294546, 5.05411e-05, 0.0350151, 0.095211, 0.00289081, 0.000912446, 0.0408514, 0.0952153, 0.0792838, 0.000263304
2500, 0.7, 0.128956, 0.00429687, 6.06114e-05, 0.013007, 0.0362163, 0.00428953, 0.00154763, 0.0215934, 0.0362494, 0.019353, 0.000405036
2500, 1, 0.128269, 0.00430102, 5.3589e-05, 0.012987, 0.035603, 0.00428694, 0.00155172, 0.0215749, 0.0356368, 0.0225337, 0.000317483
2500, 1.6, 0.128373, 0.00429437, 5.45553e-05, 0.0140554, 0.0353699, 0.00428098, 0.00159639, 0.0226307, 0.035406, 0.0280545, 0.000185722
2500, 3.5, 0.130398, 0.00429802, 6.38637e-05, 0.0353036, 0.0960212, 0.004245, 0.0013615, 0.0438466, 0.0960309, 0.0467327, 0.000641292
2500, 5, 0.130309, 0.00430217, 7.06762e-05, 0.0355747, 0.0968776, 0.00425016, 0.00137343, 0.0441271, 0.0968873, 0.0590397, 0.000446019
2500, 10, 0.133203, 0.00430411, 6.99596e-05, 0.0353411, 0.0958767, 0.00424855, 0.00136409, 0.0438937, 0.0958864, 0.116142, 0.00125372
3072, 0.7, 0.129892, 0.00639137, 6.06536e-05, 0.0137851, 0.0372289, 0.00643466, 0.00229631, 0.0266111, 0.0372997, 0.027397, 0.00118
3072, 1, 0.130039, 0.00640031, 6.77854e-05, 0.0138652, 0.0366424, 0.00643412, 0.00227943, 0.0266997, 0.0367133, 0.0312935, 0.00120742
3072, 1.6, 0.130418, 0.00639344, 6.92549e-05, 0.015738, 0.0370286, 0.00644446, 0.00236378, 0.0285759, 0.037104, 0.0390235, 0.00114329
3072, 3.5, 0.13079, 0.00640044, 6.68773e-05, 0.0350885, 0.0948773, 0.0063732, 0.00203572, 0.0478621, 0.0948992, 0.0623658, 0.00142893
3072, 5, 0.13568, 0.00639357, 6.60174e-05, 0.035299, 0.0951029, 0.00635434, 0.00204353, 0.0480469, 0.0951249, 0.0784911, 0.0010693
3072, 10, 0.131733, 0.00639698, 6.22131e-05, 0.035424, 0.0949365, 0.00635656, 0.00203177, 0.0481775, 0.0949583, 0.150885, 0.00179596
3500, 0.7, 0.135062, 0.0082449, 7.00246e-05, 0.0138967, 0.0363779, 0.00826729, 0.00295546, 0.0304089, 0.0364978, 0.0354928, 0.000422467
3500, 1, 0.132, 0.00824456, 6.14421e-05, 0.0144727, 0.0370089, 0.00826214, 0.00295321, 0.0309794, 0.0371266, 0.040801, 0.000387264
3500, 1.6, 0.131, 0.00824599, 7.00706e-05, 0.017559, 0.0395968, 0.00830518, 0.00300898, 0.0341102, 0.039711, 0.0514253, 0.000419944
3500, 3.5, 0.128213, 0.00824991, 5.98723e-05, 0.0358066, 0.0958483, 0.00824274, 0.00272343, 0.0522992, 0.095887, 0.0842333, 0.00047306
3500, 5, 0.133145, 0.00824619, 6.70287e-05, 0.036012, 0.0962682, 0.00821932, 0.00263795, 0.0524775, 0.0963043, 0.107562, 0.000631088
3500, 10, 0.128719, 0.00823828, 5.49852e-05, 0.0360784, 0.096938, 0.00822163, 0.00263652, 0.0525383, 0.0969738, 0.211469, 0.000633337
