# (1) size, (2) sigma, (3) af kernel [s], (4) af cpy h->d mean [s], (5) af cpy h->d stddev [s], (6) af convolve mean [s], (7) af convolve stddev [s], (8) af cpy d->h mean [s], (9) af cpy d->h stddev [s], (10) af total mean [s], (11) af total stddev [s], (12) vigra mean [s], (13) vigra stddev [s]
256, 0.7, 0.0425599, 0.000102576, 1.09054e-05, 0.00408186, 0.011493, 9.16205e-05, 1.72632e-05, 0.00427606, 0.011493, 0.00151248, 3.38294e-05
256, 1, 0.0427151, 0.000101432, 1.04269e-05, 0.00416987, 0.011538, 9.06375e-05, 1.71332e-05, 0.00436193, 0.011538, 0.00178592, 9.82671e-06
256, 1.6, 0.0426546, 0.000101721, 1.05903e-05, 0.0044723, 0.0115806, 9.09215e-05, 1.71887e-05, 0.00466494, 0.0115806, 0.00237493, 1.04837e-05
256, 3.5, 0.0425354, 0.000104396, 1.28641e-05, 0.00959723, 0.0280889, 9.2462e-05, 1.8002e-05, 0.00979409, 0.0280889, 0.00417633, 2.10467e-05
256, 5, 0.0426298, 0.000102811, 1.021e-05, 0.00955999, 0.027947, 9.2987e-05, 1.71385e-05, 0.00975579, 0.027947, 0.00549766, 2.85345e-05
256, 10, 0.0427792, 0.000103283, 1.10611e-05, 0.00956797, 0.0279583, 9.28515e-05, 1.78581e-05, 0.0097641, 0.0279583, 0.0119288, 0.000105627
512, 0.7, 0.0427548, 0.000327747, 4.99083e-05, 0.00476246, 0.0115491, 0.000310981, 6.58803e-05, 0.00540119, 0.0115494, 0.00611812, 3.05073e-05
512, 1, 0.0428166, 0.000330233, 5.06109e-05, 0.00503728, 0.011514, 0.000317335, 6.70392e-05, 0.00568485, 0.0115143, 0.00727063, 0.000196928
512, 1.6, 0.0426805, 0.000329693, 5.10043e-05, 0.00619671, 0.011546, 0.00031529, 6.53401e-05, 0.00684169, 0.0115463, 0.00964299, 4.74532e-05
512, 3.5, 0.042833, 0.000327658, 3.8346e-05, 0.0134092, 0.0277337, 0.000315948, 6.45487e-05, 0.0140528, 0.0277338, 0.0172407, 4.39744e-05
512, 5, 0.0442431, 0.00032963, 3.8841e-05, 0.013706, 0.0287489, 0.000317075, 6.6781e-05, 0.0143527, 0.028749, 0.0228758, 0.000263867
512, 10, 0.0428282, 0.000330833, 3.63786e-05, 0.0134507, 0.0278078, 0.000313145, 6.42293e-05, 0.0140947, 0.0278079, 0.0510653, 0.000472051
1024, 0.7, 0.0431385, 0.000929319, 4.50094e-05, 0.00743732, 0.0115861, 0.000803023, 5.07761e-05, 0.00916967, 0.0115863, 0.0254286, 8.64276e-05
