# (1) size, (2) sigma, (3) af kernel [s], (4) af cpy h->d mean [s], (5) af cpy h->d stddev [s], (6) af convolve mean [s], (7) af convolve stddev [s], (8) af cpy d->h mean [s], (9) af cpy d->h stddev [s], (10) af total mean [s], (11) af total stddev [s], (12) vigra mean [s], (13) vigra stddev [s]
256, 0.7, 0.0428042, 0.000175299, 2.18542e-05, 0.00458856, 0.0128603, 0.00014895, 1.63503e-05, 0.00491281, 0.0128603, 0.00394295, 0.000539148
256, 1, 0.0427734, 0.000145355, 3.53058e-05, 0.00440404, 0.0121722, 0.000115562, 2.95502e-05, 0.00466496, 0.0121723, 0.00513695, 0.00061633
256, 1.6, 0.0428199, 0.000190352, 3.09151e-05, 0.00495796, 0.0129033, 0.000141215, 1.74755e-05, 0.00528953, 0.0129034, 0.00661445, 0.00149948
256, 3.5, 0.0431201, 0.000185611, 3.11985e-05, 0.00983482, 0.0284423, 0.000146704, 1.8815e-05, 0.0101671, 0.0284424, 0.00819078, 0.00202003
256, 5, 0.0428829, 0.000176756, 2.71412e-05, 0.0101244, 0.0288066, 0.00014525, 2.03981e-05, 0.0104464, 0.0288066, 0.0113078, 0.00274748
256, 10, 0.0427635, 0.000169832, 3.32915e-05, 0.00994259, 0.0285959, 0.000139919, 2.15215e-05, 0.0102523, 0.0285959, 0.0171696, 0.00334078
512, 0.7, 0.0428394, 0.000489723, 0.000126176, 0.00507116, 0.0123111, 0.000427963, 9.15539e-05, 0.00598885, 0.0123121, 0.0113962, 0.00322017
512, 1, 0.0428288, 0.000500201, 4.63951e-05, 0.00537001, 0.0123392, 0.000476537, 5.12008e-05, 0.00634675, 0.0123394, 0.0125074, 0.00298035
512, 1.6, 0.0426489, 0.00051843, 7.06723e-05, 0.00649303, 0.0122496, 0.000472348, 4.97678e-05, 0.00748381, 0.0122499, 0.017382, 0.00303275
512, 3.5, 0.0428516, 0.000533089, 9.07684e-05, 0.0139117, 0.0284412, 0.000471204, 6.00151e-05, 0.014916, 0.0284415, 0.0232494, 0.00240999
512, 5, 0.0440879, 0.000521289, 7.79362e-05, 0.0141785, 0.0295205, 0.000481749, 5.08034e-05, 0.0151816, 0.0295207, 0.0267854, 0.00238241
512, 10, 0.0429104, 0.000515436, 8.19686e-05, 0.0143577, 0.0299146, 0.000468441, 6.48098e-05, 0.0153416, 0.0299148, 0.0446787, 0.00270992
1024, 0.7, 0.0433093, 0.00120344, 0.000164642, 0.00778889, 0.0124759, 0.00120698, 0.000211514, 0.0101993, 0.0124788, 0.0152636, 0.00261098
1024, 1, 0.0438716, 0.00124342, 0.000166913, 0.00869902, 0.011793, 0.00119323, 0.000237812, 0.0111357, 0.0117966, 0.0150115, 0.00269665
1024, 1.6, 0.0454202, 0.00117905, 0.000161645, 0.013552, 0.0125943, 0.00111863, 0.000236988, 0.0158496, 0.0125976, 0.0215628, 0.00283963
1024, 3.5, 0.0440295, 0.00108284, 0.00017268, 0.0298379, 0.0287221, 0.000847569, 0.000149874, 0.0317684, 0.028723, 0.0309773, 0.00565514
1024, 5, 0.0436512, 0.00110061, 0.000167646, 0.0297415, 0.0285544, 0.000846051, 0.000164657, 0.0316882, 0.0285554, 0.034182, 0.00878433
1024, 10, 0.0435233, 0.00116505, 0.000196223, 0.0298279, 0.028201, 0.000844884, 0.000148659, 0.0318378, 0.0282021, 0.0666714, 0.0144264
1500, 0.7, 0.0465134, 0.00204173, 0.000282622, 0.0119979, 0.0129931, 0.00214243, 0.000504402, 0.0161821, 0.0130059, 0.0183875, 0.00226982
1500, 1, 0.0431483, 0.00207238, 0.000293616, 0.0142216, 0.0123045, 0.00193882, 0.000477421, 0.0182328, 0.0123173, 0.0201658, 0.00194954
1500, 1.6, 0.0431299, 0.00200167, 0.000222789, 0.0243324, 0.0128713, 0.00157872, 0.000247523, 0.0279128, 0.0128756, 0.0260539, 0.00241871
1500, 3.5, 0.0429123, 0.00200433, 0.000239865, 0.0317651, 0.0283821, 0.00157734, 0.000243387, 0.0353468, 0.0283841, 0.0429694, 0.00205539
1500, 5, 0.062479, 0.00211267, 0.000349934, 0.0357902, 0.0410681, 0.00168735, 0.000256158, 0.0395902, 0.0410704, 0.0725778, 0.00275911
1500, 10, 0.0615342, 0.00207503, 0.000276782, 0.0355568, 0.0398803, 0.00168189, 0.000260714, 0.0393137, 0.0398822, 0.144072, 0.00368958
2048, 0.7, 0.0621245, 0.00355668, 0.00045989, 0.0198307, 0.0169786, 0.00319708, 0.0011836, 0.0265845, 0.0170261, 0.0337454, 0.00311397
2048, 1, 0.0619242, 0.00347424, 0.000409362, 0.0242698, 0.0169023, 0.00299625, 0.000529381, 0.0307403, 0.0169155, 0.0399479, 0.0101321
2048, 1.6, 0.0619249, 0.00361236, 0.000506701, 0.0430231, 0.0176199, 0.00301248, 0.000540073, 0.0496479, 0.0176354, 0.0497689, 0.0037665
2048, 3.5, 0.0619685, 0.00339493, 0.000299511, 0.0959363, 0.0402382, 0.00298849, 0.000542924, 0.10232, 0.0402429, 0.0852251, 0.00485961
2048, 5, 0.0619025, 0.00357184, 0.000491006, 0.0960902, 0.0405736, 0.00297545, 0.00053883, 0.102637, 0.0405802, 0.10865, 0.00408567
2048, 10, 0.0618352, 0.00347287, 0.000352908, 0.0959013, 0.0403056, 0.00297953, 0.000538569, 0.102354, 0.0403108, 0.206333, 0.00490193
2500, 0.7, 0.0617039, 0.00514358, 0.000513559, 0.0270016, 0.0171218, 0.00458424, 0.00176713, 0.0367295, 0.0172204, 0.0478666, 0.00128289
2500, 1, 0.0617031, 0.00546713, 0.000610222, 0.0337226, 0.0171937, 0.00434658, 0.000736747, 0.0435363, 0.0172203, 0.0580582, 0.00168842
2500, 1.6, 0.0616516, 0.00564036, 0.0006511, 0.0619426, 0.0172345, 0.00436383, 0.000899817, 0.0719467, 0.0172703, 0.0760373, 0.00131746
2500, 3.5, 0.0616424, 0.00574955, 0.000523006, 0.0995253, 0.0401332, 0.00487962, 0.00121163, 0.110154, 0.0401549, 0.154105, 0.0437438
2500, 5, 0.113694, 0.00652733, 0.000105037, 0.109198, 0.073134, 0.00737322, 0.002606, 0.123099, 0.0731805, 0.314568, 0.00299645
2500, 10, 0.115162, 0.00654264, 0.000103918, 0.109265, 0.0731746, 0.00713473, 0.00158067, 0.122942, 0.0731917, 0.610779, 0.00266872
3072, 0.7, 0.113703, 0.0096898, 0.000127999, 0.0425132, 0.0304052, 0.0112446, 0.00506594, 0.0634476, 0.0308246, 0.135929, 0.0054499
3072, 1, 0.113765, 0.00981336, 0.000163248, 0.0525643, 0.0305264, 0.0105732, 0.00191758, 0.0729509, 0.030587, 0.161777, 0.00637733
3072, 1.6, 0.117859, 0.00977621, 0.000169079, 0.0941525, 0.0306603, 0.0105293, 0.00194241, 0.114458, 0.0307222, 0.215883, 0.00908833
3072, 3.5, 0.11508, 0.00971846, 0.000123098, 0.114689, 0.0731536, 0.0105037, 0.00192536, 0.134911, 0.073179, 0.379492, 0.0161579
3072, 5, 0.113656, 0.0097474, 0.000118388, 0.114438, 0.0723855, 0.0107545, 0.00303404, 0.13494, 0.0724491, 0.4867, 0.0192903
3072, 10, 0.112328, 0.00974307, 0.00011729, 0.114561, 0.0727969, 0.0105111, 0.0017923, 0.134815, 0.072819, 0.94572, 0.00179731
3500, 0.7, 0.113671, 0.0125082, 0.000152648, 0.0521067, 0.0304994, 0.0136375, 0.00232149, 0.0782523, 0.030588, 0.159705, 0.00369153
3500, 1, 0.113753, 0.0124584, 0.000155811, 0.0652799, 0.0309334, 0.0135481, 0.00228273, 0.0912864, 0.0310179, 0.190385, 0.00143163
3500, 1.6, 0.113679, 0.012502, 0.000177333, 0.119344, 0.0306709, 0.0135129, 0.00228485, 0.145359, 0.0307564, 0.254006, 0.00297555
3500, 3.5, 0.113627, 0.0125473, 0.000150411, 0.119388, 0.0724449, 0.0136678, 0.00227646, 0.145603, 0.0724808, 0.450342, 0.00317609
3500, 5, 0.114287, 0.0125357, 0.00013315, 0.119569, 0.0734, 0.0135614, 0.00228888, 0.145666, 0.0734358, 0.580789, 0.0035637
3500, 10, 0.113212, 0.0125005, 0.000153902, 0.119354, 0.0726305, 0.0135557, 0.0022931, 0.14541, 0.0726669, 1.12922, 0.00919142
