# (1) size, (2) sigma, (3) af kernel [s], (4) af cpy h->d mean [s], (5) af cpy h->d stddev [s], (6) af convolve mean [s], (7) af convolve stddev [s], (8) af cpy d->h mean [s], (9) af cpy d->h stddev [s], (10) af total mean [s], (11) af total stddev [s], (12) vigra mean [s], (13) vigra stddev [s]
256, 0.7, 0.0424375, 0.000123683, 1.88775e-05, 0.00408427, 0.0114914, 9.22615e-05, 1.72552e-05, 0.00430022, 0.0114915, 0.00143698, 5.1352e-05
256, 1, 0.0427574, 0.000125815, 1.89226e-05, 0.00418314, 0.0115649, 9.2348e-05, 1.7182e-05, 0.00440131, 0.011565, 0.00169692, 6.00373e-05
256, 1.6, 0.0426965, 0.000131355, 1.81669e-05, 0.00462603, 0.0120289, 9.1283e-05, 1.99567e-05, 0.00484867, 0.0120289, 0.00218457, 7.71488e-05
256, 3.5, 0.04318, 0.000148469, 1.52204e-05, 0.00964571, 0.0281603, 9.23835e-05, 1.67713e-05, 0.00988657, 0.0281603, 0.00371299, 4.65393e-05
256, 5, 0.0429425, 0.000129002, 1.11432e-05, 0.0096199, 0.0280751, 9.39965e-05, 1.75409e-05, 0.0098429, 0.0280751, 0.00467723, 5.79384e-05
256, 10, 0.0433895, 0.000135081, 7.3383e-06, 0.00965435, 0.0282744, 9.3869e-05, 1.73542e-05, 0.0098833, 0.0282745, 0.00925252, 4.6952e-05
512, 0.7, 0.0428838, 0.000369012, 5.44714e-05, 0.00477634, 0.0115823, 0.0003179, 6.53233e-05, 0.00546325, 0.0115826, 0.00537333, 5.24714e-05
512, 1, 0.0426046, 0.000381613, 5.70665e-05, 0.00507444, 0.0116003, 0.000319341, 6.47728e-05, 0.00577539, 0.0116006, 0.00642717, 0.000132983
512, 1.6, 0.0426182, 0.000371156, 5.43747e-05, 0.00622307, 0.0116057, 0.000318341, 6.46299e-05, 0.00691257, 0.011606, 0.0083191, 8.3996e-05
512, 3.5, 0.0426913, 0.000369689, 4.16835e-05, 0.0134409, 0.0278258, 0.000319547, 6.49923e-05, 0.0141302, 0.0278259, 0.014307, 0.000147488
512, 5, 0.0425437, 0.000374006, 4.04825e-05, 0.0134081, 0.0277196, 0.000318673, 6.57501e-05, 0.0141008, 0.0277197, 0.0186765, 0.0005909
