# size, sigma, af kernel [s], af cpy h->d mean [s], af cpy h->d stddev [s], af convolve mean [s], af convolve stddev [s], af cpy d->h mean [s], af cpy d->h stddev [s], af total mean [s], af total stddev [s], vigra mean [s], vigra stddev [s]
256, 0.7, 0.048789, 0.0003774, 0.000153330492727, 0.0090423, 0.0173171859149, 0.0002538, 5.63858138187e-05, 0.0096735, 0.0175034682749, 0.0017153, 0.000136258614407
256, 1.0, 0.047919, 0.0003754, 0.00013232172913, 0.0093134, 0.0175275798398, 0.0002524, 4.90880840938e-05, 0.0099412, 0.0176932003142, 0.0019985, 9.840960319e-05
256, 1.6, 0.046113, 0.0003747, 0.000142111962903, 0.0091322, 0.0167897912661, 0.0002469, 5.36851003539e-05, 0.0097538, 0.0169786402035, 0.0024367, 0.000130155330279
256, 3.5, 0.047581, 0.0003987, 0.000114776347738, 0.0226985, 0.0425748659687, 0.0002819, 8.8835184471e-05, 0.0233791, 0.0427729430071, 0.0042538, 0.000130437571275
256, 5.0, 0.049048, 0.0003849, 0.000133716453737, 0.0228339, 0.0428377788534, 0.0002782, 9.52888241086e-05, 0.023497, 0.0430641854677, 0.0053597, 0.000128358910871
256, 10.0, 0.04959, 0.0004216, 0.000114090490401, 0.0235976, 0.0449599548781, 0.0002967, 0.000136502051267, 0.0243159, 0.0451940020787, 0.0106963, 0.000751358376542
512, 0.7, 0.047042, 0.000959, 0.000202527035232, 0.00986, 0.0170281568057, 0.0008083, 0.000240494511372, 0.0116273, 0.0171641672565, 0.0066059, 0.000357981130788
512, 1.0, 0.047625, 0.0009508, 0.00016759701668, 0.0105914, 0.0172259444281, 0.0008069, 0.000222926647129, 0.0123491, 0.0173394747928, 0.0077808, 0.000324330942095
512, 1.6, 0.048049, 0.0009595, 0.000173365654038, 0.0115413, 0.0174782809055, 0.0007912, 0.000215574024409, 0.013292, 0.0175962076198, 0.0100255, 0.000263412699011
512, 3.5, 0.047469, 0.000982, 0.000173030055193, 0.0348419, 0.0421728725663, 0.0008726, 0.000272567129346, 0.0366965, 0.0424628899329, 0.0164229, 0.000385189420935
512, 5.0, 0.047357, 0.0009768, 0.000150596015884, 0.0343506, 0.0409161411871, 0.0009246, 0.000307708368427, 0.036252, 0.0411790843002, 0.0212, 0.000240394675482
512, 10.0, 0.050134, 0.0009882, 0.00015652335289, 0.0348758, 0.0422804925227, 0.0009077, 0.000302599421678, 0.0367717, 0.0425582964157, 0.0418066, 0.000197204563842
1024, 0.7, 0.047473, 0.0026968, 0.000163036069629, 0.0133688, 0.0165870899063, 0.0056554, 0.00973777671956, 0.021721, 0.0246263475449, 0.0379423, 0.000663530564481
1024, 1.0, 0.052496, 0.0027529, 0.000282045545967, 0.0166421, 0.0180300515776, 0.0026983, 0.00137216194744, 0.0220933, 0.0191780690219, 0.0513721, 0.00988144511142
1024, 1.6, 0.048543, 0.0026803, 0.000201709717168, 0.0195675, 0.0173329774318, 0.0056621, 0.00966497922864, 0.0279099, 0.019439517733, 0.0513144, 0.00102346061966
1024, 3.5, 0.046815, 0.0029691, 0.000117037985287, 0.0879645, 0.0407026994541, 0.0026765, 0.00126967706524, 0.0936101, 0.0413997559062, 0.0785054, 0.000824633033537
1024, 5.0, 0.047623, 0.003049, 0.000138434099845, 0.0886082, 0.0416188814694, 0.0026895, 0.00129924002786, 0.0943467, 0.0423733453696, 0.0974791, 0.000725142806625
1024, 10.0, 0.048252, 0.0030573, 0.000124934422799, 0.08882, 0.0422551111512, 0.0192561, 0.050317458178, 0.1111334, 0.0612758519079, 0.1767963, 0.00369162230056
1500, 0.7, 0.04831, 0.0058262, 0.000135391875679, 0.0201931, 0.0186675860917, 0.0053365, 0.00273404401025, 0.0313558, 0.020606809558, 0.0837624, 0.00196609451451
1500, 1.0, 0.049037, 0.0058406, 0.00015262319614, 0.0250139, 0.0172865606148, 0.0204253, 0.0297100118379, 0.0512798, 0.0449765585006, 0.0901546, 0.00236596302592
1500, 1.6, 0.048204, 0.0058592, 0.000132011969154, 0.0321115, 0.0173915854438, 0.0053396, 0.00272188468529, 0.0433103, 0.0193244865808, 0.1323418, 0.0165104341603
1500, 3.5, 0.062973, 0.0059791, 0.000156564012468, 0.0973452, 0.0545522962941, 0.0278302, 0.0663698751691, 0.1311545, 0.0953418539438, 0.2199311, 0.00192910468612
1500, 5.0, 0.062534, 0.0059542, 0.000165342553506, 0.0973968, 0.054812617527, 0.0273556, 0.065068081598, 0.1307066, 0.0803110782547, 0.2684401, 0.00194654660617
1500, 10.0, 0.063005, 0.0060007, 0.00013635912144, 0.0972229, 0.0546763931865, 0.0280206, 0.0664490118635, 0.1312442, 0.0811877635285, 0.506721, 0.00213561475927
2048, 0.7, 0.062987, 0.0096373, 0.000164334445568, 0.0313341, 0.0226191037685, 0.0901889, 0.10567716762, 0.1311603, 0.112668712309, 0.2219618, 0.00416643602615
2048, 1.0, 0.063179, 0.009678, 0.000187604903987, 0.0415978, 0.0228373213876, 0.0669335, 0.0917212591129, 0.1182093, 0.0887230353032, 0.2659363, 0.0715330712147
