# size, sigma, af kernel [s], af cpy h->d mean [s], af cpy h->d stddev [s], af convolve mean [s], af convolve stddev [s], af cpy d->h mean [s], af cpy d->h stddev [s], af total mean [s], af total stddev [s], vigra mean [s], vigra stddev [s]
256, 0.7, 0.04497, 0.0006146, 0.000140547643168, 0.0094229, 0.0180037487788, 0.0003917, 5.37457905328e-05, 0.0104292, 0.0180812150576, 0.0263126, 0.00724742700826
256, 1.0, 0.045008, 0.0005999, 0.000137236620477, 0.0090618, 0.0168728000747, 0.0003779, 5.48278214048e-05, 0.0100396, 0.0169368572067, 0.0219641, 0.00473127345331
256, 1.6, 0.043858, 0.0005711, 0.000220574001188, 0.0091975, 0.0168552211688, 0.0003063, 6.96075426947e-05, 0.0100749, 0.0170797163762, 0.0165848, 0.00341218070448
256, 3.5, 0.043411, 0.0005844, 0.00019945886794, 0.0217221, 0.0393038186324, 0.0003729, 9.5850352112e-05, 0.0226794, 0.0395091052068, 0.0210072, 0.0050031253792
256, 5.0, 0.043638, 0.0006309, 0.000191088173365, 0.0218862, 0.0394673408473, 0.0003518, 0.000108772055235, 0.0228689, 0.039673607823, 0.0191785, 0.00496809609911
256, 10.0, 0.043718, 0.0006493, 0.000190042653107, 0.0221445, 0.0396654402024, 0.0004075, 7.63809531231e-05, 0.0232013, 0.0398399371838, 0.0317179, 0.00769445177319
512, 0.7, 0.043309, 0.0012587, 0.000272611096619, 0.0099711, 0.0171778591591, 0.0011586, 0.000513540884448, 0.0123884, 0.0171594909202, 0.0664587, 0.00792880447546
512, 1.0, 0.043269, 0.0011499, 0.000187139226246, 0.0103944, 0.0167480718365, 0.0010815, 0.000375054462712, 0.0126258, 0.0166394715229, 0.058143, 0.00961603312182
512, 1.6, 0.04404, 0.0012015, 0.000162814157861, 0.0113796, 0.0170876314345, 0.0010659, 0.000374087008596, 0.013647, 0.0169697579594, 0.0648298, 0.0101888741557
512, 3.5, 0.045332, 0.0012213, 0.000290156871364, 0.0338347, 0.0391805950875, 0.0009329, 0.000334385540955, 0.0359889, 0.0394344830991, 0.062061, 0.0125577511283
512, 5.0, 0.043447, 0.0012296, 0.000177401916562, 0.0336523, 0.0386079586874, 0.0009591, 0.00040123370995, 0.035841, 0.0388146078996, 0.0690514, 0.011669873043
512, 10.0, 0.043517, 0.0011059, 0.000230413302567, 0.0337924, 0.038608667043, 0.0008698, 0.000273960508103, 0.0357681, 0.0388816877706, 0.1098551, 0.012459626852
1024, 0.7, 0.043416, 0.0027063, 0.000245325110822, 0.0144647, 0.0190832583646, 0.0039554, 0.00367894917606, 0.0211264, 0.0198559511794, 0.2409756, 0.0124077972517
1024, 1.0, 0.043399, 0.0026881, 0.000218211113374, 0.0153497, 0.0154149735715, 0.003268, 0.00220256922706, 0.0213058, 0.0162251132557, 0.1946328, 0.0128900590286
1024, 1.6, 0.044009, 0.0027905, 0.000258727752667, 0.0190132, 0.0161916443316, 0.0242498, 0.0643575228218, 0.0460535, 0.0640396616469, 0.2209058, 0.00475216665954
1024, 3.5, 0.043338, 0.0028483, 0.000257223657543, 0.0870514, 0.0383331832756, 0.0025043, 0.00117250202985, 0.092404, 0.0390790178101, 0.2211716, 0.014937269223
1024, 5.0, 0.043495, 0.002822, 0.00033044243069, 0.0875589, 0.0389743744285, 0.0024722, 0.00114793386569, 0.0928531, 0.0398342242963, 0.2618882, 0.0108360257641
1024, 10.0, 0.043926, 0.0031371, 0.00023408479233, 0.0872966, 0.038630532148, 0.0026086, 0.00123669343008, 0.0930423, 0.0393287804948, 0.433364, 0.00683221229178
1500, 0.7, 0.043566, 0.006077, 0.00034211898515, 0.0188213, 0.0158031217679, 0.0251697, 0.0608472491211, 0.050068, 0.0606775679539, 0.5242873, 0.0125097824925
1500, 1.0, 0.043358, 0.0061799, 0.000445640539, 0.0243479, 0.0159105205726, 0.0260226, 0.0637378356649, 0.0565504, 0.0633703927307, 0.4156877, 0.00871060344695
1500, 1.6, 0.043336, 0.0062703, 0.000416988740855, 0.0312092, 0.0154339233042, 0.0068224, 0.00613919488532, 0.0443019, 0.0172343809721, 0.506709, 0.0780825990756
1500, 3.5, 0.062228, 0.0064211, 0.000609045392397, 0.0975356, 0.0548740571677, 0.008247, 0.00760169386387, 0.1122037, 0.0619452271818, 0.6593829, 0.0168621190984
1500, 5.0, 0.06161, 0.0064793, 0.000560456073212, 0.0976202, 0.0548009820711, 0.0358976, 0.0895604641594, 0.1399971, 0.0989913344, 0.7306532, 0.0125326565484
1500, 10.0, 0.062626, 0.0062863, 0.000324482988768, 0.0974927, 0.0548424449912, 0.0382507, 0.096370252018, 0.1420297, 0.104964126207, 1.278786, 0.0117223927762
2048, 0.7, 0.0633, 0.0103618, 0.000728179208712, 0.0313737, 0.0227129536214, 0.0329238, 0.0163991888507, 0.0746593, 0.0300545701185, 1.3325937, 0.0166713510493
2048, 1.0, 0.062752, 0.0108102, 0.00118412945238, 0.0412709, 0.0221883655615, 0.0529223, 0.0854068792909, 0.1050034, 0.0854156741157, 1.0696251, 0.03626605505
2048, 1.6, 0.062685, 0.0105652, 0.000834865474193, 0.0544758, 0.0222642036498, 0.0620134, 0.0955599202848, 0.1270544, 0.0933870976733, 1.2162596, 0.0206654462773
2048, 3.5, 0.062429, 0.0105469, 0.000765805517087, 0.3452543, 0.0534238512765, 0.0853273, 0.127796130131, 0.4411285, 0.127231964734, 1.2755181, 0.155179961776
2048, 5.0, 0.062282, 0.0106986, 0.000850951843526, 0.3457098, 0.0543699323777, 0.0850788, 0.127130396926, 0.4414872, 0.126336626866, 1.4096187, 0.10809085114
