# size, sigma, af kernel [s], af cpy h->d mean [s], af cpy h->d stddev [s], af convolve mean [s], af convolve stddev [s], af cpy d->h mean [s], af cpy d->h stddev [s], af total mean [s], af total stddev [s], vigra mean [s], vigra stddev [s]
256, 0.7, 0.043116, 0.0006101, 0.00029027933099, 0.009006, 0.0171495998262, 0.0003287, 8.68620170155e-05, 0.0099448, 0.017416367031, 0.0259479, 0.00421420154834
256, 1.0, 0.043201, 0.0005724, 0.000155157468399, 0.0087685, 0.0163048449073, 0.0003703, 7.67724559982e-05, 0.0097112, 0.0163723881447, 0.0184789, 0.00550454801868
256, 1.6, 0.043232, 0.0006357, 0.000208282524471, 0.0093413, 0.0171151840075, 0.0003706, 7.10833313795e-05, 0.0103476, 0.0172808459527, 0.0198828, 0.00663828622161
256, 3.5, 0.046533, 0.0005909, 0.000205787001533, 0.0218549, 0.0394916049799, 0.0003718, 9.25708377406e-05, 0.0228176, 0.0396995362724, 0.0216918, 0.00531542483344
256, 5.0, 0.04357, 0.0006108, 0.00011262486404, 0.0216186, 0.039258634396, 0.0003741, 8.66584675609e-05, 0.0226035, 0.0394077591554, 0.0219046, 0.00499358290609
256, 10.0, 0.043402, 0.000694, 0.000131224235566, 0.0217665, 0.0395104169688, 0.0003769, 8.52882758649e-05, 0.0228374, 0.0396693191023, 0.0374677, 0.00805015438423
512, 0.7, 0.043392, 0.0012056, 0.000184753457342, 0.0093203, 0.0158249231976, 0.0011188, 0.000540467168291, 0.0116447, 0.0157391001271, 0.0730265, 0.0145571926294
512, 1.0, 0.043451, 0.0012728, 0.000268787946158, 0.0105279, 0.0170136584628, 0.0011804, 0.000610600556829, 0.0129811, 0.0169861423369, 0.0580391, 0.0113894620457
512, 1.6, 0.043199, 0.0012192, 0.000292683036748, 0.0111485, 0.0166480988659, 0.000945, 0.000433051036253, 0.0133127, 0.0167650807457, 0.0693521, 0.0140813161491
512, 3.5, 0.043354, 0.001203, 0.00016349006086, 0.0333127, 0.038805735169, 0.0009024, 0.00035071675181, 0.0354181, 0.0388605742506, 0.0647345, 0.011320369899
512, 5.0, 0.0449, 0.0010821, 0.000192413331139, 0.0337265, 0.039140387592, 0.0009025, 0.000290632499903, 0.0357111, 0.0394209827388, 0.0642903, 0.00761288346226
512, 10.0, 0.043596, 0.0010687, 0.00021075865344, 0.0338143, 0.0393534727745, 0.0009262, 0.000382627965523, 0.0358092, 0.0396255200642, 0.1088375, 0.0128054146458
1024, 0.7, 0.043459, 0.0028322, 0.000286451322217, 0.0132781, 0.0163748828054, 0.002549, 0.000756813583388, 0.0186593, 0.0166569213605, 0.2389554, 0.00869193022521
1024, 1.0, 0.043674, 0.0027201, 0.000228870028619, 0.0154333, 0.0155727045438, 0.0029652, 0.00165563479065, 0.0211186, 0.0165168496403, 0.1949875, 0.0119729306625
1024, 1.6, 0.043183, 0.0027624, 0.000249936071826, 0.0190754, 0.0163780834117, 0.0027864, 0.00127495883855, 0.0246242, 0.0173917090006, 0.2217059, 0.00708135936738
1024, 3.5, 0.043273, 0.0028517, 0.000513685516634, 0.0879833, 0.0391021047619, 0.0025464, 0.00125765211406, 0.0933814, 0.0401209469111, 0.2170248, 0.010035280313
1024, 5.0, 0.043552, 0.0027828, 0.000313003130975, 0.0877918, 0.0390160548129, 0.0025038, 0.00119525685942, 0.0930784, 0.0398975504391, 0.2463634, 0.00623022505532
1024, 10.0, 0.043215, 0.0029621, 0.000443054951445, 0.0876246, 0.0389875670033, 0.002505, 0.00120592893655, 0.0930917, 0.0397236979649, 0.4382646, 0.00686624570198
1500, 0.7, 0.043819, 0.0061393, 0.000468513190849, 0.0185719, 0.0153400774082, 0.0055802, 0.00324801886694, 0.0302914, 0.0173216524166, 0.524181, 0.0148423714682
1500, 1.0, 0.04421, 0.0059447, 0.00034536851333, 0.0242611, 0.0158100345885, 0.0052033, 0.00274835078001, 0.0354091, 0.0178893199113, 0.4384905, 0.0414443878378
